mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lbp_patches__n_points,param_lbp_patches__patch_size,param_lbp_patches__radius,param_lbp_patches__step,param_ocsvm__gamma,param_ocsvm__nu,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
124.58410608768463,7.176998257637024,43.899763226509094,1.4624685049057007,8,"(32, 32)",1,8,0.1,0.1,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 1, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.1, 'ocsvm__nu': 0.1}",-28513.896051640622,-25482.87467547383,-26998.385363557227,1515.5106880833955,39
149.37891614437103,0.24320924282073975,73.75793492794037,0.6813865900039673,8,"(32, 32)",1,8,0.1,0.15,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 1, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.1, 'ocsvm__nu': 0.15}",-91138.30068729827,-82803.24308164702,-86970.77188447263,4167.5288028256255,48
206.4023449420929,30.057976722717285,99.77007734775543,9.08938729763031,8,"(32, 32)",1,8,0.1,0.2,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 1, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.1, 'ocsvm__nu': 0.2}",-211177.21295610198,-193944.34438763084,-202560.7786718664,8616.434284235569,54
145.02148985862732,16.046769857406616,59.95336163043976,10.697571873664856,8,"(32, 32)",1,8,0.15,0.1,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 1, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.15, 'ocsvm__nu': 0.1}",-6977.882007316865,-6224.225024733783,-6601.053516025324,376.828491291541,22
180.15975725650787,24.09952700138092,80.85121166706085,8.034189105033875,8,"(32, 32)",1,8,0.15,0.15,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 1, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.15, 'ocsvm__nu': 0.15}",-24667.15410698043,-22499.143859548716,-23583.148983264575,1084.0051237158568,37
195.98961353302002,20.648864030838013,101.41460430622101,3.4555901288986206,8,"(32, 32)",1,8,0.15,0.2,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 1, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.15, 'ocsvm__nu': 0.2}",-61567.20040887981,-57059.54150226899,-59313.3709555744,2253.8294533054104,45
120.90489995479584,0.14628374576568604,44.102771520614624,0.02495288848876953,8,"(32, 32)",1,8,0.2,0.1,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 1, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.2, 'ocsvm__nu': 0.1}",-1847.9377353073442,-1640.3794012806368,-1744.1585682939904,103.77916701335369,11
157.51939177513123,1.0230839252471924,72.61558246612549,0.14009451866149902,8,"(32, 32)",1,8,0.2,0.15,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 1, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.2, 'ocsvm__nu': 0.15}",-7145.200746478952,-6530.307054713916,-6837.753900596434,307.4468458825181,24
182.95363354682922,4.087371826171875,87.30142116546631,1.2175838947296143,8,"(32, 32)",1,8,0.2,0.2,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 1, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.2, 'ocsvm__nu': 0.2}",-19013.653039135923,-17651.103703344634,-18332.37837124028,681.2746678956446,32
90.10377657413483,4.261606335639954,52.55450141429901,0.8350204229354858,8,"(32, 32)",2,8,0.1,0.1,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 2, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.1, 'ocsvm__nu': 0.1}",-24748.58049864527,-24914.23430380602,-24831.407401225646,82.82690258037474,38
